author,comment,like_count,published_at
@EngineerBersamaSolusi,Yakinnn... Ingat para aparat yg makan uang haram... Negara ini bukan punya bapakmu...,0,2025-03-11T15:55:57Z
@uapariamanchanel7031,"hanya hukum mati yang bisa membuat rakyat indonesia tobat nasional korupsi, yang dihukum mati individu pelaku bukan kelompok garis rasnya",0,2025-03-11T13:28:55Z
@lukmanjfr0355,"emng kalaupun kejadian(korupsi),,  kita bisa apa
protest dibungkam, protest di sosmed di kerubungin buzzer, dll

i had enough of this goverment big ass mouth..  full of lies",0,2025-03-11T12:45:58Z
@agusherman5289,"Diem2 bae mahasiswa pada Demo demo gih.. Kok sepi2 bae, apa udah pada di beli biar gak demo kok sepi? !!",0,2025-03-11T00:56:11Z
@junaidiarsifa3813,Hanya minta transparansi saja kq berbelit belit...,0,2025-03-10T16:25:25Z
@denyarsyad17,"Komit hukum pancung kalo terbukti ada korupsi, buat increase kepercayaan yg udah jatuh ini sejak lama😂",0,2025-03-10T13:09:30Z
@sittimiftahrivai5019,"Pak, gak capek ya? Selalu mengubur si akal sehat..",0,2025-03-10T11:02:02Z
@HerrySaputra-bc5hu,"*saya pribadi tidak percaya, ujung-ujungnya pasti di korupsi😂*",1,2025-03-10T09:21:49Z
@m.a.pansuriofficial,SEMUA PERTANYAAN GK ADA YG DIJAWAB TINGGAL TUNGGU KAPAN BERITA KORUPSI MUNCUL🤣🤣🤣,0,2025-03-10T08:42:17Z
@m.a.pansuriofficial,PERTANYAAN SIMPLE TAPI JAWABANNYA MUTER2 TAPI GK DIJAWAB,0,2025-03-10T08:23:17Z
@aisyahbadmas9231,"Mulai dari:
""Aku punya teoriii......""

Dia pinter, anak muda ini.",0,2025-03-10T07:36:33Z
@abdulk1184,MOU yg mengelola danatara korupsi hukum mati.,0,2025-03-10T07:28:05Z
